count,bits,backend,boundary,correctness,warmup,reps,trials,median_ms,iqr_ms,trial_median_min_ms,trial_median_max_ms,spread_ratio,spread_p90_p10,stable,unstable_rev2,speedup_vs_c,speedup_low,speedup_high,speedup_ci_low,speedup_ci_high,verdict,boundary_inversion,direction_supported,magnitude_supported,claim_supported_rev2
32768,8,cuda,host-origin,passed,3637,30,24,0.272300,0.033250,0.212750,0.286300,1.3457,1.0794,true,true,2.9464,2.8013,3.8136,2.8827,2.9842,faster,false,true,true,false
65536,4,cpu,comparator,passed,681,30,24,1.470800,0.018500,1.469550,1.488950,1.0132,1.0126,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
65536,4,cuda,resident,passed,6344,30,24,0.152000,0.030350,0.142950,0.167900,1.1745,1.1320,true,false,9.6763,8.7525,10.4159,9.3862,9.8678,faster,false,true,true,true
65536,4,cuda,resident-graph,passed,36232,30,24,0.026600,0.000200,0.026600,0.027600,1.0376,1.0038,true,false,55.2932,53.2446,55.9756,55.2632,55.9004,faster,false,true,true,true
65536,4,cuda,host-origin,passed,3226,30,24,0.292200,0.043925,0.241750,0.318400,1.3171,1.1890,true,true,5.0335,4.6154,6.1590,4.7750,5.1395,faster,false,true,true,false
65536,8,cpu,comparator,passed,623,30,24,1.592450,0.018400,1.589300,1.610050,1.0131,1.0122,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
65536,8,cuda,resident,passed,6741,30,24,0.154700,0.028700,0.142950,0.165600,1.1584,1.1057,true,false,10.2938,9.5972,11.2630,10.0380,10.4563,faster,false,true,true,true
65536,8,cuda,resident-graph,passed,36232,30,24,0.026600,0.000100,0.026600,0.027600,1.0376,1.0013,true,false,59.8665,57.5833,60.5282,59.7895,60.4342,faster,false,true,true,true
65536,8,cuda,host-origin,passed,3078,30,24,0.301050,0.042025,0.246500,0.336500,1.3651,1.1818,true,true,5.2897,4.7230,6.5316,5.1349,5.3764,faster,false,true,true,false
131072,4,cpu,comparator,passed,341,30,24,2.941600,0.026100,2.938750,2.988600,1.0170,1.0125,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
131072,4,cuda,resident,passed,6306,30,24,0.165450,0.033700,0.149450,0.180000,1.2044,1.1103,true,false,17.7794,16.3264,19.9973,17.4494,18.2663,faster,false,true,true,true
131072,4,cuda,resident-graph,passed,31546,30,24,0.030700,0.000000,0.030700,0.032250,1.0505,1.0000,true,false,95.8176,91.1240,97.3485,95.7622,95.9560,faster,false,true,true,true
131072,4,cuda,host-origin,passed,2633,30,24,0.345500,0.052225,0.295100,0.378150,1.2814,1.2451,true,true,8.5140,7.7714,10.1274,8.0883,9.0645,faster,false,true,true,false
131072,8,cpu,comparator,passed,322,30,24,3.107300,0.010525,3.105450,3.143450,1.0122,1.0095,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
131072,8,cuda,resident,passed,6396,30,24,0.159200,0.028900,0.143250,0.174750,1.2199,1.1594,true,false,19.5182,17.7708,21.9438,18.8596,20.1735,faster,false,true,true,true
131072,8,cuda,resident-graph,passed,31546,30,24,0.030700,0.000000,0.030700,0.033550,1.0928,1.0000,true,false,101.2150,92.5618,102.3925,101.1873,101.2296,faster,false,true,true,true
131072,8,cuda,host-origin,passed,2426,30,24,0.367850,0.051000,0.306250,0.389900,1.2731,1.2009,true,true,8.4472,7.9647,10.2643,8.2107,8.7336,faster,false,true,true,false
262144,4,cpu,comparator,passed,171,30,24,5.881150,0.017825,5.875000,5.948550,1.0125,1.0017,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
262144,4,cuda,resident,passed,6334,30,24,0.164400,0.031575,0.151950,0.183250,1.2060,1.1153,true,false,35.7734,32.0600,39.1481,35.0551,36.6675,faster,false,true,true,true
262144,4,cuda,resident-graph,passed,25063,30,24,0.040900,0.000100,0.039850,0.040950,1.0276,1.0000,true,false,143.7934,143.4676,149.2735,143.7586,143.8509,faster,false,true,true,true
262144,4,cuda,host-origin,passed,2089,30,24,0.474400,0.043550,0.435400,0.517750,1.1891,1.1000,true,false,12.3970,11.3472,13.6623,12.0942,12.5553,faster,false,true,true,true
262144,8,cpu,comparator,passed,164,30,24,6.112800,0.018425,6.107150,6.161200,1.0089,1.0027,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
262144,8,cuda,resident,passed,6059,30,24,0.167250,0.029775,0.156900,0.183300,1.1683,1.1092,true,false,36.5489,33.3178,39.2683,35.7451,37.2327,faster,false,true,true,true
262144,8,cuda,resident-graph,passed,25063,30,24,0.040900,0.000100,0.040900,0.040900,1.0000,1.0000,true,false,149.4572,149.3191,150.6406,149.4108,149.5134,faster,false,true,true,true
262144,8,cuda,host-origin,passed,1875,30,24,0.501050,0.047425,0.470650,0.547650,1.1636,1.1150,true,false,12.2000,11.1516,13.0908,11.8641,12.4930,faster,false,true,true,true
524288,4,cpu,comparator,passed,86,30,24,11.767250,0.145050,11.755000,11.907200,1.0129,1.0098,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
524288,4,cuda,resident,passed,5786,30,24,0.189350,0.048325,0.173600,0.205550,1.1840,1.1056,true,false,62.1455,57.1880,68.5899,60.3114,64.3568,faster,false,true,true,true
524288,4,cuda,resident-graph,passed,16557,30,24,0.062400,0.000100,0.062400,0.062500,1.0016,1.0008,true,false,188.5777,188.0800,190.8205,188.4920,188.9319,faster,false,true,true,true
524288,4,cuda,host-origin,passed,1476,30,24,0.645800,0.031075,0.618850,0.680500,1.0996,1.0548,true,false,18.2212,17.2741,19.2408,17.9765,18.3566,faster,false,true,true,true
524288,8,cpu,comparator,passed,83,30,24,12.080950,0.140625,12.073900,12.318000,1.0202,1.0137,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
524288,8,cuda,resident,passed,5669,30,24,0.189800,0.042750,0.174400,0.199550,1.1442,1.1159,true,false,63.6509,60.5056,70.6307,62.0817,64.5020,faster,false,true,true,true
524288,8,cuda,resident-graph,passed,16026,30,24,0.062400,0.000100,0.062400,0.062500,1.0016,1.0016,true,false,193.6050,193.1824,197.4038,193.5385,193.6771,faster,false,true,true,true
