start_unix,end_unix,wall_median_ms,kernel_median_ms,kernel_first10_ms,kernel_last10_ms,k1_median_ms,k2_median_ms,k3_median_ms,count,condition,index,warmups,reps,gap_s,high_priority,gpu
1790397930.0337672,1790397932.2147639,0.2056,0.182352,0.17772799649999999,0.19401600000000002,0.148704,0.024576,0.009216,1048576,long_warmup,3,7401,30,0.0,False,"{""samples"": 39, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397932.2147639,1790397932.3536887,0.4309,0.36718400399999995,0.3534559985,0.385120001,0.29166400449999996,0.061456000499999996,0.010848,1048576,baseline,3,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2940.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397932.3536887,1790397934.119266,0.19545,0.17921600599999998,0.199168006,0.1784320075,0.14560000550000002,0.024672,0.009184000000000001,1048576,long_warmup,4,7401,30,0.0,False,"{""samples"": 30, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397934.119266,1790397934.2539601,0.40795000000000003,0.351519991,0.311408006,0.372639996,0.2652640045,0.061392,0.01072,1048576,baseline,4,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397934.2539601,1790397936.143671,0.4062,0.36691199100000005,0.367087992,0.238927997,0.2925439925,0.060880000000000004,0.01032,1048576,long_warmup,5,7401,30,0.0,False,"{""samples"": 33, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397936.143671,1790397936.2765455,0.2069,0.184880002,0.19180800550000002,0.1829920015,0.1509120015,0.024688,0.010224,1048576,baseline,5,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397936.2765455,1790397938.298105,0.22294999999999998,0.1816800005,0.1715359985,0.179727999,0.1457759965,0.0246719995,0.009136,1048576,long_warmup,6,7401,30,0.0,False,"{""samples"": 36, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397938.298105,1790397938.4190807,0.4315,0.3693919995,0.34448000850000005,0.3693919995,0.2963200065,0.061904,0.010672000000000001,1048576,baseline,6,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397938.4190807,1790397940.5045824,0.19195,0.16647999949999998,0.17662400050000002,0.1661599975,0.132015996,0.024416,0.010192,1048576,long_warmup,7,7401,30,0.0,False,"{""samples"": 36, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397940.5045824,1790397940.637377,0.40615,0.3527359925,0.34499200350000003,0.36004800400000003,0.2668479975,0.062784001,0.010672000000000001,1048576,baseline,7,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2940.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
